Title,Author(s),First Published Year,ISBN-10,ISBN-13,Publisher,Language
On The Beach,"Nevil Shute, Gideon Haigh, G. C. Thornley, SparkNotes Staff, SparkNotes",1957,N/A,N/A,N/A,"dut, ger, rus, heb, eng"
The Martian Chronicles,Ray Bradbury,1950,N/A,N/A,N/A,"rus, und, por, ger, fre, spa, ita, eng, chi"
The food of the gods and how it came to earth,H. G. Wells,1900,N/A,N/A,N/A,"por, eng"
2001,Arthur C. Clarke,1968,N/A,N/A,N/A,"rus, ger, ita, eng, dut, fre, spa, por"
The Invisible Man,H. G. Wells,1897,N/A,N/A,N/A,"eng, ger, ita, fre, por, spa, cat, chi, mon, und, rus"
De la terre à la lune,Jules Verne,1865,N/A,N/A,N/A,"cze, ger, eng, fre, hun, spa"
A Princess of Mars,Edgar Rice Burroughs,1917,N/A,N/A,N/A,"und, eng, spa, rus"
The First Men in the Moon,H. G. Wells,1900,N/A,N/A,N/A,"spa, gle, eng, rus, mul, pol, fre, und"
Dune,Frank Herbert,1965,N/A,N/A,N/A,"rus, ger, pol, eng, fre, spa, por"
When the Sleeper Awakes,H. G. Wells,1899,N/A,N/A,N/A,"eng, ger, ita, und, epo"
Anthem,"Ayn Rand, Erin Bateman",1936,N/A,N/A,N/A,eng
The book of the damned,"Charles Fort, Charles Fort",1919,N/A,N/A,N/A,"eng, por"
The Iron Heel,Jack London,1907,N/A,N/A,N/A,"ger, eng, yid, fre, fin, spa, swe, chi, por"
The Hitch Hiker's Guide to the Galaxy,Douglas Adams,1979,N/A,N/A,N/A,"cze, rus, ger, fre, spa, ita, eng, chi, tur"
Brave New World,Aldous Huxley,1883,N/A,N/A,N/A,"cze, rus, ger, pol, ita, glg, eng, dut, jpn, est, fre, cat, hrv, spa, heb, chi, por"
Voyage au Centre de la Terre,Jules Verne,1867,N/A,N/A,N/A,"mac, spa, ita, heb, eng, chi, fre, vie, por, cze"
Phantastes,George MacDonald,1850,N/A,N/A,N/A,"fre, eng"
Мы,"Евгений Иванович Замятин, Gary Kern, Alejandro Ariel González, Tavo Montañez, Sergio Hernández-Ranera Sánchez, Zilboorg Gregory, Alexander Glinka",1924,N/A,N/A,N/A,"rus, pol, eng, chi, est, spa, srp"
The Time Machine,H. G. Wells,1895,N/A,N/A,N/A,"und, rus, ger, pol, ita, tam, eng, fre, spa, epo, chi, por"
The War of the Worlds,H. G. Wells,1898,N/A,N/A,N/A,"mon, dut, ukr, eng, dan, und, ger, fre, spa, ita, por, chi"
The Last Man,Mary Shelley,1826,N/A,N/A,N/A,"ger, ita, eng"
It Can't Happen Here,Sinclair Lewis,1935,N/A,N/A,N/A,"eng, rus"
Flatland,Edwin Abbott Abbott,1884,N/A,N/A,N/A,"por, eng, spa, fre, ita"
